Open (USDT),Delta,Bid Size,Bid/IV,Mark/IV,Ask/IV,Ask Size,Position,Strike,Position,Bid Size,Bid/IV,Mark/IV,Ask/IV,Ask Size,Delta,Open (USDT)
"2,147,501.28",0.64311,2.50,"3,745.0","4,950.6","6,200.0",2.50,--,61000,--,19.66,"1,180.0","1,189.9","1,200.0",11.15,-0.30674,"3,220,300.86"
"3,219,666.82",0.61560,2.50,"3,070.0","3,530.1","3,995.0",2.50,--,62000,--,3.00,"1,510.0","1,527.4","1,545.0",3.00,-0.37059,"3,322,381.67"
"1,476,050.48",0.56005,2.00,"2,585.0","2,595.0","2,605.0",2.50,--,63000,--,4.11,"1,945.0","1,957.4","1,970.0",3.00,-0.43960,"3,342,036.98"
"1,694,795.07",0.49082,2.00,"2,090.0","2,102.4","2,115.0",3.11,--,64000,--,3.00,"2,410.0","2,442.4","2,475.0",3.00,-0.51023,"3,342,671.02"
"2,274,943.78",0.42224,3.51,"1,655.0","1,669.9","1,685.0",2.50,--,65000,--,0.51,"3,000.0","3,032.4","3,065.0",3.00,-0.57912,"1,090,552.76"
"1,886,909.89",0.35812,2.00,"1,315.0","1,327.4","1,340.0",3.00,--,66000,--,2.00,"3,615.0","3,667.3","3,720.0",5.50,-0.64564,"909,850.70"
"2,515,245.82",0.29916,1.20,"1,035.0","1,042.4","1,050.0",3.72,--,67000,--,3.00,"4,195.0","4,362.3","4,535.0",2.40,-0.70787,"1,996,599.21"
"2,467,058.60",0.24636,6.78,800.0,809.9,820.0,1.75,--,68000,--,4.19,"4,970.0","5,123.3","5,285.0",2.44,-0.76300,"71,012.73"
"2,377,658.64",0.20284,4.39,630.0,639.9,650.0,37.15,--,69000,--,3.67,"2,825.0","6,930.0","9,180.0",3.67,-0.69942,"216,842.46"
"6,188,252.88",0.16515,1.53,495.0,499.9,505.0,3.25,--,70000,--,5.00,"3,445.0","7,747.8","10,290.0",5.00,-0.72977,"4,151,709.00"
"8,945,702.87",0.02919,12.00,65.0,72.2,80.0,1.00,--,78000,--,5.00,"10,085.0","14,672.3","18,785.0",5.00,-0.91667,"3,223,471.07"
"7,391,031.14",0.01230,12.00,20.0,28.8,40.0,8.42,--,82000,--,0.00,0.0,"18,480.8",0.0,0.00,-0.95901,"5,735,546.68"
"24,023,862.90",0.00842,0.00,0.0,24.0,25.0,5.70,--,90000,--,0.00,0.0,"26,340.0",0.0,0.00,-0.99186,"19,052,971.24"
"2,262,896.98",0.00105,0.00,0.0,2.8,10.0,4.60,--,105000,--,0.00,0.0,"41,274.1",0.0,0.00,-0.99977,"481,238.10"
